budget,popularity,runtime,vote_average,vote_count,release_year,main_genre
120000000,66.757869,102,5.7,2342,2014,Action
120000000,17.060695,135,5.7,354,2008,Action
120000000,11.137655,121,4.9,223,2010,Comedy
117000000,44.906918,109,5.9,1547,2010,Action
120000000,67.698004,124,6.4,4800,2013,Action
113000000,44.108427,140,7.1,4116,2005,Action
120000000,43.987061,142,6.4,3992,2002,Action
115000000,106.815545,92,7.5,5996,2001,Comedy
120000000,15.953444,126,6.3,4053,2013,Action
115000000,54.035265,136,6.3,4432,1999,Action
135000000,64.183321,98,6.8,2399,2013,Comedy
97250400,20.344364,116,5.0,471,2008,Comedy
115000000,18.714197,134,5.8,341,2002,Action
115000000,60.467984,114,6.0,1523,2016,Action
125000000,143.350376,101,5.8,2636,2014,Action
105000000,110.153618,91,7.3,5751,2013,Drama
116000000,16.90444,108,5.7,428,1997,Action
135000000,39.873791,112,5.8,963,2016,Action
120000000,38.126095,100,4.4,2278,2015,Action
110000000,48.780039,108,6.3,2862,2006,Action
110000000,100.412364,114,6.0,2968,2015,Action
110000000,42.887121,119,6.0,925,1997,Action
110000000,23.657284,165,6.8,1099,2000,Action
110000000,44.635452,120,6.5,2965,2005,Action
116000000,45.616098,170,7.0,1489,2004,Drama
112000000,22.845143,85,4.9,621,2010,Comedy
120000000,31.703608,119,5.5,1251,2011,Action
110000000,71.510596,102,6.1,2397,2014,Action
110000000,36.65422,103,5.5,1179,2011,Comedy
110000000,37.195046,127,6.6,2692,2011,Action
105000000,32.473628,105,5.5,695,2013,Comedy
160000000,23.336875,121,4.1,434,1997,Action
110000000,45.94834,114,6.6,2303,2013,Action
110000000,48.93337,128,6.4,2089,2007,Action
93000000,138.049577,178,8.0,8705,2001,Action
110000000,22.643776,120,5.7,672,2004,Action
107000000,18.866672,157,6.7,447,2001,Drama
0,18.251129,82,4.9,366,2003,Comedy
120000000,95.914473,115,6.7,3793,2004,Action
130000000,44.490453,144,6.6,1157,2005,Action
133000000,30.475297,84,5.8,959,1999,Comedy
108000000,167.93287,141,7.6,7268,2015,Drama
126000000,37.68056,136,6.5,1770,2005,Action
90000000,1.004579,104,3.7,16,2001,Comedy
90000000,52.995628,118,6.1,1485,2000,Action
103000000,95.301296,155,7.9,5439,2000,Action
102000000,65.948959,145,7.1,2608,2002,Action
150000000,88.935165,144,7.3,3855,2006,Action
100000000,51.188633,119,5.6,1243,2001,Action
100000000,101.74155,137,7.7,4185,1991,Action
80000000,33.691694,140,6.5,1344,2009,Drama
100000000,42.361215,157,7.4,1502,2007,Drama
115000000,38.729418,141,6.8,1116,1994,Action
100000000,40.597856,106,6.2,954,2009,Drama
100000000,32.389353,98,5.4,1060,2010,Comedy
100000000,24.399642,107,6.1,1383,2010,Action
100000000,24.507987,115,5.6,543,1996,Action
100000000,82.121691,165,7.8,10099,2012,Drama
100000000,46.727941,91,6.8,1129,1996,Drama
100000000,51.113717,78,7.2,1490,2000,Comedy
100000000,53.732892,103,6.1,2896,2012,Action
100000000,58.849256,131,6.4,1926,2004,Action
100000000,30.863434,104,4.9,967,2006,Action
100000000,41.426678,103,6.0,1699,2010,Action
100000000,20.652943,121,5.5,482,1999,Action
100000000,52.792678,143,7.3,2281,2006,Action
100000000,95.007934,180,7.9,6571,2013,Comedy
100000000,48.205606,121,5.2,1498,1995,Action
105000000,58.782359,129,6.7,1560,1997,Action
102000000,73.872343,172,6.6,2977,2012,Drama
100000000,32.271938,104,4.2,808,2004,Action
100000000,76.842247,99,5.6,1680,2014,Action
100000000,19.38841,102,5.3,381,2009,Comedy
90000000,61.025639,127,6.1,1795,2014,Action
105000000,33.507289,114,5.5,783,2015,Action
84000000,17.815595,94,3.6,338,2005,Comedy
100000000,50.767332,122,6.5,1276,2015,Action
100000000,12.092241,95,4.4,142,2002,Action
100000000,30.254021,115,6.4,717,2010,Action
10000000,3.091077,110,7.1,73,1997,Drama
98000000,41.862983,130,6.0,2206,2001,Action
100000000,46.160048,167,7.1,1910,2002,Drama
94000000,12.516546,145,7.1,187,2011,Drama
85000000,23.230851,85,5.9,601,2007,Comedy
90000000,19.224754,93,5.4,334,2004,Action
92000000,44.455166,144,7.2,1811,2001,Action
0,16.460356,85,5.6,578,2012,Comedy
90000000,109.528572,126,7.3,3885,1997,Action
100000000,18.325897,146,5.4,426,2010,Comedy
95000000,37.054554,89,7.0,858,2000,Comedy
95000000,65.229868,88,6.2,2672,2012,Comedy
95000000,101.187052,105,6.7,2374,2015,Drama
65000000,29.257137,136,6.6,1065,2009,Drama
94000000,123.630332,201,8.1,8064,2003,Action
79000000,106.914973,179,8.0,7487,2002,Action
115000000,41.498631,100,5.7,2192,2001,Action
100000000,58.991388,119,5.9,2295,2014,Drama
93000000,1.859364,92,5.7,2077,2001,Action
93000000,138.433168,105,7.0,4347,2011,Action
92000000,65.402595,98,5.2,3493,2013,Action
92000000,77.817571,115,7.4,5152,2004,Action
98000000,7.029308,119,5.7,136,1995,Action
90000000,104.121555,98,6.9,4412,1997,Action
90000000,73.575118,92,7.3,3806,1999,Comedy
100000000,37.698465,98,6.3,1165,2010,Action
90000000,35.814765,90,6.4,1054,2001,Action
100000000,15.835672,130,6.3,488,2000,Drama
100000000,46.781182,90,6.5,1747,2009,Comedy
90000000,69.457898,94,6.5,2271,2009,Comedy
90000000,43.348022,114,7.0,3144,2013,Comedy
92000000,40.20395,98,5.6,1232,2000,Action
90000000,63.429157,151,7.9,4339,2006,Drama
92000000,43.192048,107,6.5,1667,2008,Action
90000000,47.651083,158,7.2,2434,2011,Drama
90000000,51.881077,128,6.9,2066,1995,Action
90000000,57.834787,128,7.0,5766,2009,Action
100000000,29.608322,125,5.3,621,2016,Drama
0,27.867368,92,5.8,428,2015,Comedy
75000000,38.832842,121,6.7,1173,2008,Drama
90000000,40.597344,113,5.5,1048,2008,Action
88000000,140.849495,105,5.6,2513,2015,Action
100000000,34.035114,146,6.8,1974,2001,Drama
90000000,16.302378,99,5.2,466,2003,Comedy
90000000,55.249434,150,7.2,1308,1997,Drama
95000000,28.200874,112,5.6,634,2000,Action
95000000,56.811056,117,5.5,1418,2003,Action
90000000,51.535701,129,6.7,3235,2016,Action
68000000,20.913852,116,5.9,302,1997,Action
92000000,27.166757,126,6.8,579,2001,Action
90000000,46.200042,96,6.5,2166,2011,Comedy
100000000,24.939295,131,6.9,963,1999,Comedy
90000000,19.836124,104,5.2,376,1997,Action
90000000,15.350451,107,5.9,290,1997,Drama
100000000,15.625949,138,6.1,264,2002,Drama
20000000,31.802807,129,6.6,650,1982,Action
88000000,24.100863,144,7.3,616,2005,Drama
90000000,3.593349,110,5.4,50,2010,Action
87000000,14.824166,141,6.7,216,2003,Drama
92000000,32.079995,113,6.1,950,1996,Action
90000000,57.739713,143,7.5,3218,2000,Drama
100000000,37.272385,108,5.9,1410,2006,Comedy
75000000,53.213931,108,7.2,2825,2004,Action
85000000,36.38795,124,6.2,840,1997,Action
75000000,36.605246,110,5.6,924,2011,Action
85000000,56.257411,91,6.8,2566,2012,Comedy
85000000,29.21998,107,6.6,1449,2007,Comedy
85000000,34.773106,115,6.3,1345,2012,Action
85000000,9.895061,100,5.1,313,2000,Comedy
75000000,36.743324,104,5.8,932,2011,Action
85000000,44.967453,136,6.7,1225,2006,Comedy
90000000,41.207568,132,6.7,1240,1998,Action
85000000,16.479851,121,6.2,360,2009,Comedy
85000000,80.316463,139,6.9,4663,2014,Action
85000000,24.107835,104,6.4,514,2003,Action
85000000,32.044191,130,6.1,712,1993,Action
85000000,16.595874,145,7.3,652,2005,Drama
85000000,8.282876,104,6.1,1705,2006,Action
0,19.83683,97,6.7,333,2011,Comedy
90000000,36.069611,178,6.9,1147,1998,Drama
85000000,18.827753,108,5.5,427,2002,Action
0,5.159407,123,7.3,85,1979,Drama
85000000,48.126297,106,5.5,1114,2012,Comedy
60000000,38.885195,112,7.2,2126,2010,Action
60000000,29.211255,136,5.4,516,2003,Action
84000000,17.783361,106,4.7,332,2000,Comedy
84000000,31.435539,88,5.4,820,2002,Comedy
50000000,57.673932,95,6.6,1940,2012,Action
82500000,41.176631,107,6.0,2104,2006,Comedy
8000000,13.661289,120,6.7,226,1982,Comedy
85000000,11.77398,82,4.9,119,2010,Comedy
65000000,51.970905,157,7.3,2023,2007,Drama
80000000,109.684788,101,6.4,3012,2003,Comedy
80000000,77.580661,103,6.0,2926,2010,Action
80000000,75.290998,110,6.7,2631,1996,Action
80000000,58.040149,102,6.2,3739,2011,Comedy
80000000,59.113174,126,6.6,1673,1992,Action
80000000,36.32705,83,6.3,1074,2006,Comedy
85000000,14.132583,97,5.8,288,2006,Comedy
75000000,34.070054,120,5.9,855,1998,Action
84000000,44.34333,116,6.4,1526,2013,Action
82000000,26.065735,113,6.2,785,2005,Comedy
75000000,23.473004,87,5.4,484,2011,Comedy
80000000,45.589568,100,5.8,1155,2013,Comedy
80000000,23.496054,110,6.0,1051,2008,Action
80000000,16.939441,128,6.3,410,2003,Comedy
80000000,81.914696,138,7.8,6336,2010,Drama
80000000,19.500893,88,5.3,331,2008,Comedy
75000000,29.558157,91,6.0,1333,2005,Comedy
80000000,46.075037,138,6.8,1583,1997,Action
80000000,23.531721,99,5.9,901,2008,Comedy
80000000,49.078546,117,7.3,1077,2002,Drama
80000000,37.02665,117,6.3,1543,2011,Comedy
75000000,45.154631,115,6.5,1270,1997,Action
80000000,46.887983,118,6.3,1018,2008,Action
79000000,24.598479,154,6.7,533,2003,Drama
80000000,32.363538,118,6.6,2164,2010,Action
80000000,11.50396,93,5.3,695,1997,Comedy
80000000,36.125715,88,6.5,1288,1996,Comedy
0,25.450534,93,5.6,550,2006,Action
80000000,41.890722,104,5.2,1043,2008,Drama
75000000,22.179658,135,6.5,431,1997,Action
68000000,139.575085,135,7.4,3946,2014,Action
70000000,18.264635,98,5.6,332,1998,Action
80000000,11.187696,80,5.2,220,2010,Comedy
80000000,41.670544,83,7.4,831,2002,Comedy
80000000,27.46264,102,5.3,498,2011,Comedy
80000000,21.394281,129,6.2,393,2004,Drama
0,0.605645,117,8.0,1,1998,Drama
80000000,61.692197,89,6.7,1497,2015,Comedy
80000000,25.978555,96,5.8,631,2002,Action
90000000,6.643778,114,5.9,208,1998,Action
102000000,36.788745,99,6.1,932,2001,Action
75000000,31.054334,129,5.9,893,2005,Action
85000000,21.891078,113,6.8,577,1998,Drama
85000000,18.335992,90,5.2,438,2000,Comedy
88000000,40.138009,118,5.6,818,2005,Action
70000000,44.090535,106,6.1,1509,1996,Comedy
0,3.300061,81,6.4,47,2015,Drama
0,20.632673,117,6.7,349,1997,Action
80000000,36.664991,89,5.9,1195,2009,Action
80000000,18.26121,145,6.9,189,2000,Drama
80000000,16.681269,115,5.8,378,1996,Action
44000000,7.89147,118,3.0,255,2000,Action
80000000,16.715631,90,5.6,297,2003,Comedy
80000000,9.357734,112,5.1,165,2009,Drama
80000000,11.22268,116,5.4,318,2003,Action
80000000,14.564667,177,6.1,299,1997,Drama
90000000,11.356079,92,5.2,305,1998,Comedy
90000000,52.612025,106,5.7,1316,2015,Action
80000000,13.800656,106,5.4,267,2000,Action
80000000,7.342892,110,4.8,111,2005,Action
130000000,50.561849,105,5.2,1267,2014,Action
8000000,0.719996,89,5.3,9,2015,Comedy
60000000,59.248437,135,7.7,3009,2001,Drama
45000000,90.457886,89,8.0,5376,1994,Drama
79000000,40.723459,94,5.8,1030,2012,Action
78000000,41.247402,95,6.4,915,2013,Comedy
79000000,22.132418,91,4.1,604,2011,Comedy
76000000,10.520961,107,6.2,2028,2003,Action
76000000,8.981427,88,3.9,87,2000,Action
78000000,47.436675,110,5.7,1155,2003,Action
76000000,136.886704,98,7.0,4637,2013,Comedy
75000000,60.442593,145,6.7,3260,1996,Action
73000000,2.502487,129,6.2,2487,1997,Action
76000000,35.387874,109,7.4,2071,2006,Action
75000000,4.66891,104,6.8,4097,2000,Action
75000000,73.82289,110,6.4,2528,2008,Action
75000000,51.469576,136,6.9,1456,1996,Action
80000000,85.115058,91,6.5,2951,2006,Comedy
75000000,61.437586,99,6.6,2105,2004,Comedy
50000000,31.160542,117,6.5,709,2007,Comedy
75000000,17.561955,78,4.3,318,1999,Action
80000000,38.864027,102,6.0,1705,2010,Comedy
60000000,57.753914,128,7.0,1910,2004,Comedy
35000000,13.25753,100,5.7,202,2009,Comedy
75000000,13.318744,124,5.9,283,2000,Action
75000000,18.70031,102,6.5,338,2007,Comedy
75000000,47.094369,90,5.8,1557,2004,Action
70000000,14.486311,134,6.6,284,2006,Drama
53000000,18.61472,118,5.4,292,2005,Comedy
70000000,29.035222,164,6.9,696,2005,Action
70000000,27.055085,121,6.4,573,2003,Action
75000000,23.004607,100,5.7,772,2010,Action
75000000,48.744209,116,7.1,2265,2015,Action
80000000,14.209329,130,5.8,369,2004,Comedy
75000000,36.368839,91,6.3,874,2006,Comedy
75000000,24.353302,123,6.2,302,2001,Action
55000000,19.143321,134,5.9,311,1995,Action
75000000,13.327372,148,6.4,197,1999,Drama
75000000,37.917002,110,5.7,880,2011,Action
52000000,23.663713,113,6.2,512,2005,Drama
75000000,14.44381,94,6.3,313,2000,Action
75000000,10.605084,116,5.0,166,2003,Action
75000000,11.873856,99,6.1,221,1998,Action
0,12.708963,84,5.8,282,2009,Action
75000000,8.098369,93,4.3,78,2001,Action
45000000,20.374308,113,5.7,276,2004,Action
75000000,42.006908,106,6.9,1946,2000,Drama
74000000,875.581305,91,6.4,4571,2015,Comedy
82000000,39.127082,110,5.9,1623,2011,Action
70000000,21.789615,112,5.4,444,2008,Comedy
75000000,20.199057,146,5.7,390,2009,Comedy
70000000,26.123705,110,6.5,513,2007,Action
72500000,12.599836,116,6.2,491,2006,Comedy
70000000,13.543053,87,4.9,410,2001,Comedy
72000000,60.722162,177,7.7,3336,1995,Action
72000000,32.227223,125,6.6,765,2005,Drama
75000000,46.875375,87,6.9,2264,2007,Comedy
72000000,11.215702,152,6.6,188,2001,Drama
94000000,8.468586,116,4.5,179,2001,Action
74500000,8.884318,109,6.9,180,2004,Drama
60000000,27.491891,108,6.2,1071,2004,Drama
71000000,21.462935,85,5.4,686,1998,Comedy
72000000,28.848187,106,6.4,1599,2002,Drama
150000000,47.320801,93,6.7,2988,2004,Comedy
120000000,82.643036,117,6.6,3877,2006,Comedy
70000000,20.230535,116,5.7,455,1999,Comedy
70000000,46.217769,124,5.8,1424,2002,Action
74000000,36.952268,93,5.8,719,2015,Comedy
80000000,16.411345,117,6.4,470,1996,Action
70000000,72.595961,153,7.9,6430,2009,Action
70000000,33.648404,144,6.6,1532,1991,Comedy
70000000,57.69847,124,6.6,1896,1990,Action
80000000,34.052253,117,5.8,770,2003,Action
68000000,27.299301,136,6.5,1078,2001,Drama
75000000,20.219385,110,5.3,409,2006,Drama
70000000,42.957216,101,5.5,1217,2004,Action
75000000,29.412262,88,5.4,666,2009,Comedy
75000000,19.708731,138,6.7,521,2002,Action
70000000,59.428223,120,6.2,2981,2013,Action
70000000,19.711951,103,6.3,391,1998,Action
70000000,49.199234,116,5.5,1448,2011,Action
70000000,46.199482,125,7.6,1994,2003,Drama
66000000,29.505574,146,7.0,992,2011,Drama
70000000,43.873266,118,5.8,1523,2014,Action
70000000,24.961625,139,7.1,808,1989,Action
70000000,23.25645,133,5.8,493,2010,Drama
70000000,64.457947,92,6.2,2389,2014,Action
70000000,20.089933,116,6.0,352,1998,Action
70000000,16.92991,136,7.0,630,1997,Drama
70000000,14.780634,111,5.2,304,2011,Comedy
70000000,14.086292,116,5.4,228,2002,Action
60000000,29.261348,105,5.0,609,2005,Action
70000000,13.267631,97,5.2,269,2002,Action
70000000,58.401204,88,6.1,1862,2012,Action
75000000,23.515938,123,6.0,385,2012,Comedy
70000000,14.244518,125,5.9,241,2002,Drama
66000000,29.501489,116,6.1,695,2011,Action
0,9.306253,98,3.4,106,2002,Action
70000000,8.37378,91,4.3,97,2002,Action
75000000,10.54544,95,5.9,228,2001,Action
70000000,46.832372,133,5.1,826,2015,Drama
70000000,24.664776,107,5.7,439,2004,Action
50000000,44.478043,115,6.7,1659,2013,Action
70000000,25.020428,99,4.4,533,2014,Action
68000000,22.392544,124,5.9,437,2002,Action
68000000,107.069763,124,5.8,2301,2010,Drama
68000000,22.572323,124,6.7,423,2001,Action
60000000,10.004564,103,5.4,222,1995,Action
68000000,68.734513,115,6.2,2463,2015,Comedy
70000000,18.888806,127,6.9,395,2009,Drama
68000000,12.948627,121,5.7,250,1999,Action
36000000,27.11589,105,5.4,611,2011,Comedy
90000000,26.153669,157,7.3,481,1999,Drama
80000000,28.223664,114,6.3,588,2016,Action
70000000,37.507136,128,6.5,895,2008,Action
69000000,11.023691,114,5.5,531,2010,Comedy
69000000,38.634767,94,5.5,1269,2012,Action
66000000,25.877794,112,6.0,602,1999,Drama
67000000,12.282911,102,5.0,207,2007,Action
70000000,76.041867,169,7.9,5048,1998,Drama
66000000,54.81489,130,6.1,1520,2014,Action
70000000,31.39165,127,6.1,992,2000,Comedy
59000000,99.561972,81,7.1,3857,2002,Comedy
68000000,26.792794,136,5.3,567,2003,Drama
65000000,36.307296,149,6.7,1429,2012,Drama
63000000,104.309993,136,7.9,8907,1999,Action
52000000,68.140214,140,7.3,1599,1995,Drama
65000000,14.646884,104,5.5,297,2002,Comedy
61000000,48.356214,157,7.1,1884,2012,Drama
65000000,28.540267,119,6.3,838,1998,Comedy
65000000,22.977983,98,6.5,1062,2008,Comedy
95000000,31.086791,136,6.3,1183,1998,Action
65000000,43.865294,95,6.2,1685,2010,Comedy
65000000,43.055253,137,7.3,1400,2014,Drama
65000000,15.772081,130,6.3,403,2000,Action
70000000,26.19909,112,6.1,588,1993,Action
50000000,22.769108,108,5.7,453,1996,Action
65000000,18.281798,104,6.0,238,2000,Comedy
63000000,24.697533,128,5.9,447,2006,Drama
65000000,19.718544,117,6.5,393,2003,Drama
65000000,31.349143,83,5.9,1743,2012,Comedy
65000000,27.870312,159,7.1,1234,1999,Drama
65000000,33.439187,119,6.0,466,2014,Comedy
50100000,59.634029,105,6.7,2542,2015,Comedy
65000000,38.994297,103,5.9,1389,2012,Action
65000000,49.660055,123,5.7,1252,2004,Action
4200000,11.743085,114,6.4,215,1984,Action
65000000,9.110247,143,6.1,94,1998,Comedy
65000000,6.227675,95,5.6,1600,2012,Action
45000000,42.57877,105,6.0,1175,2008,Action
65000000,15.858629,120,6.5,314,1996,Action
65000000,14.866901,135,6.0,208,2000,Action
63000000,146.757391,139,8.3,9413,1999,Drama
65000000,8.629665,124,6.7,186,2006,Drama
65000000,16.803457,100,5.4,269,1991,Action
65000000,2.952595,105,4.9,52,2000,Action
50000000,20.415572,130,6.7,274,2005,Drama
43000000,28.613892,97,4.8,575,2005,Action
64000000,4.137237,133,5.3,63,1999,Drama
55000000,60.246978,121,6.7,1772,2015,Drama
50000000,42.551902,147,7.1,1165,2006,Drama
63000000,40.137264,94,5.9,979,2002,Comedy
65000000,24.857079,94,6.1,409,2009,Action
63000000,13.859307,191,6.5,202,1994,Action
